YearWeek	ScreenID	Screen	Part	Distr	SUISA	OrigTitle	TotPro	TotAdm	TotBox	Dac	Pro_OV_2D	Adm_OV_2D	Box_OV_2D	Pro_GV_2D	Adm_GV_2D	Box_GV_2D	Pro_FV_2D	Adm_FV_2D	Box_FV_2D	Pro_IV_2D	Adm_IV_2D	Box_IV_2D	Pro_OV_3D	Adm_OV_3D	Box_OV_3D	Pro_GV_3D	Adm_GV_3D	Box_GV_3D	Pro_FV_3D	Adm_FV_3D	Box_FV_3D	Pro_IV_3D	Adm_IV_3D	Box_IV_3D	TotPro_OV	TotAdm_OV	TotBox_OV	TotPro_GV	TotAdm_GV	TotBox_GV	TotPro_FV	TotAdm_FV	TotBox_FV	TotPro_IV	TotAdm_IV	TotBox_IV	TotPro_2D	TotAdm_2D	TotBox_2D	TotPro_3D	TotAdm_3D	TotBox_3D
201308	108414	Reinach, TaB* Atelierkino	G	LOOK NOW!	1009272	Vergiss mein nicht	4	118	1804	r	4	118	1804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	118	1804	0	0	0	0	0	0	0	0	0	4	118	1804	0	0	0
201307	108414	Reinach, TaB* Atelierkino	G	DISNEY	1008636	Django Unchained	4	62	879	r	4	62	879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	62	879	0	0	0	0	0	0	0	0	0	4	62	879	0	0	0
201307	108414	Reinach, TaB* Atelierkino	G	MOVIEBIZ	1009049	Fenster zum Jenseits	1	10	142	r	1	10	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	142	0	0	0	0	0	0	0	0	0	1	10	142	0	0	0
201307	108414	Reinach, TaB* Atelierkino	G	PATHE	1009167	Fünf Freunde 2	3	53	694	r	3	53	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	53	694	0	0	0	0	0	0	0	0	0	3	53	694	0	0	0
201307	108414	Reinach, TaB* Atelierkino	G	LOOK NOW!	1009272	Vergiss mein nicht	4	115	1705	r	4	115	1705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	115	1705	0	0	0	0	0	0	0	0	0	4	115	1705	0	0	0
201306	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1008714	Dead fucking last	4	25	326	r	4	25	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	25	326	0	0	0	0	0	0	0	0	0	4	25	326	0	0	0
201306	108414	Reinach, TaB* Atelierkino	G	XENIX	1009111	Sagrada	1	20	304	r	1	20	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	304	0	0	0	0	0	0	0	0	0	1	20	304	0	0	0
201306	108414	Reinach, TaB* Atelierkino	G	ELITE	1009127	Quartet	5	68	877	r	5	68	877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	68	877	0	0	0	0	0	0	0	0	0	5	68	877	0	0	0
201306	108414	Reinach, TaB* Atelierkino	G	PATHE	1009167	Fünf Freunde 2	2	36	416	r	2	36	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	36	416	0	0	0	0	0	0	0	0	0	2	36	416	0	0	0
201305	108414	Reinach, TaB* Atelierkino	G	DISNEY	1008566	Wreck-It Ralph	3	35	453	r	0	0	0	3	35	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	35	453	0	0	0	0	0	0	3	35	453	0	0	0
201305	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1008936	The Angels' Share	4	51	785	r	4	51	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	51	785	0	0	0	0	0	0	0	0	0	4	51	785	0	0	0
201305	108414	Reinach, TaB* Atelierkino	G	XENIX	1009111	Sagrada	1	70	997	r	1	70	997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	70	997	0	0	0	0	0	0	0	0	0	1	70	997	0	0	0
201305	108414	Reinach, TaB* Atelierkino	G	ELITE	1009127	Quartet	5	109	1528	r	0	0	0	5	109	1528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	109	1528	0	0	0	0	0	0	5	109	1528	0	0	0
201304	108414	Reinach, TaB* Atelierkino	G	FOX	1008264	Life of Pi	3	59	913	r	3	59	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	59	913	0	0	0	0	0	0	0	0	0	3	59	913	0	0	0
201304	108414	Reinach, TaB* Atelierkino	G	DISNEY	1008566	Wreck-It Ralph	2	21	268	r	0	0	0	2	21	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	268	0	0	0	0	0	0	2	21	268	0	0	0
201304	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1008936	The Angels' Share	3	30	444	r	3	30	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	30	444	0	0	0	0	0	0	0	0	0	3	30	444	0	0	0
201303	108414	Reinach, TaB* Atelierkino	G	FOX	1008264	Life of Pi	4	62	889	r	0	0	0	4	62	889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	62	889	0	0	0	0	0	0	4	62	889	0	0	0
201303	108414	Reinach, TaB* Atelierkino	G	DISNEY	1008566	Wreck-It Ralph	3	34	452	r	0	0	0	3	34	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	34	452	0	0	0	0	0	0	3	34	452	0	0	0
201303	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1008775	On the Road	4	15	234	r	4	15	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	234	0	0	0	0	0	0	0	0	0	4	15	234	0	0	0
201303	108414	Reinach, TaB* Atelierkino	G	LOOK NOW!	1009179	Lore	4	49	679	r	4	49	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	49	679	0	0	0	0	0	0	0	0	0	4	49	679	0	0	0
201302	108414	Reinach, TaB* Atelierkino	G	UNIVERSAL	1007561	Rise of the Guardians	1	9	116	r	0	0	0	1	9	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	116	0	0	0	0	0	0	1	9	116	0	0	0
201302	108414	Reinach, TaB* Atelierkino	G	DISNEY	1008566	Wreck-It Ralph	2	16	214	r	0	0	0	2	16	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	214	0	0	0	0	0	0	2	16	214	0	0	0
201302	108414	Reinach, TaB* Atelierkino	G	UNIVERSAL	1008770	Anna Karenina	5	72	1056	r	5	72	1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	72	1056	0	0	0	0	0	0	0	0	0	5	72	1056	0	0	0
201302	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1008957	Virgin Tales	1	0	0	r	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
